
============================================================
  MYSQL NOBLE-ECDSA BENCHMARK: 10,000 records, 10 runs
  (verify: @noble/curves secp256k1)
============================================================

Cross-library self-test: OK
Populating database...
  Run  1:   18.615 s | 21986/21986
  Run  2:   18.742 s | 21986/21986
  Run  3:   18.724 s | 21986/21986
  Run  4:   18.583 s | 21986/21986
  Run  5:   18.543 s | 21986/21986
  Run  6:   18.609 s | 21986/21986
  Run  7:   18.618 s | 21986/21986
  Run  8:   18.694 s | 21986/21986
  Run  9:   18.575 s | 21986/21986
  Run 10:   18.649 s | 21986/21986

  Mean: 18.635 s, Median: 18.618 s, StdDev: 0.066 s
