
============================================================
  MYSQL NOBLE-ECDSA BENCHMARK: 1,000 records, 10 runs
  (verify: @noble/curves secp256k1)
============================================================

Cross-library self-test: OK
Populating database...
  Run  1:    1.941 s | 2199/2199
  Run  2:    1.958 s | 2199/2199
  Run  3:    1.881 s | 2199/2199
  Run  4:    1.961 s | 2199/2199
  Run  5:    2.020 s | 2199/2199
  Run  6:    1.981 s | 2199/2199
  Run  7:    1.978 s | 2199/2199
  Run  8:    1.950 s | 2199/2199
  Run  9:    1.919 s | 2199/2199
  Run 10:    1.934 s | 2199/2199

  Mean: 1.952 s, Median: 1.958 s, StdDev: 0.038 s
